# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
>CoRoT-7: 100.9561682 -1.0630076 9.806 0.830 0.820 5275.0 4.50 0.05
 CoRoT-7 b: 1.059 1.681 4.077 0.0164 0.85359 1807.2 0
 CoRoT-7 c: nan nan 8.400 0.0460 3.69800 1095.9 0
 CoRoT-7 d: nan nan 17.142 0.0821 8.96600 808.5 0
>CoRoT-8: 291.5885696 1.4262972 11.463 0.770 0.880 5080.0 4.58 0.30
 CoRoT-8 b: 2.740 6.390 69.920 0.0630 6.21229 856.4 0
>CoRoT-9: 280.7866461 6.2040783 11.688 0.960 0.960 5625.0 4.54 -0.01
 CoRoT-9 b: 8.268 11.949 266.977 0.4021 95.27266 419.1 0
>CoRoTID 223977153: 100.1951714 9.2573953 12.193 0.790 1.080 5970.0 4.67 0.00
 CoRoTID 223977153 b: 2.496 6.389 47.675 0.0710 6.71837 960.3 0
>DE CVn: 201.7207198 45.5455449 8.555 nan 0.510 nan nan nan
 DE CVn b: nan nan 3813.960 5.7500 4098.10000 nan 1
>DENIS-P J082303.1-491201: 125.7620668 -49.2003008 12.062 nan 0.070 nan nan nan
 DENIS-P J082303.1-491201 b: nan nan 9057.770 0.3600 246.36000 nan 0
>DH Tau: 67.4231674 26.5493897 8.178 0.270 0.330 4371.0 4.00 nan
 DH Tau b: nan 5.964 3496.000 330.0000 3811557.92606 6.0 0
>DMPP-1: 86.7761233 -10.6303217 6.690 1.260 1.210 6196.0 4.41 nan
 DMPP-1 b: nan nan 24.270 0.1462 18.57000 877.1 1
 DMPP-1 c: nan nan 9.600 0.0733 6.58400 1238.7 1
 DMPP-1 d: nan nan 3.350 0.0422 2.88200 1632.6 1
 DMPP-1 e: nan nan 4.130 0.0651 5.51600 1314.4 1
>DMPP-2: 27.4077310 -34.4590985 7.437 1.780 1.440 6500.0 4.10 nan
 DMPP-2 b: nan nan 138.892 0.0664 5.20720 1622.8 1
>DMPP-3 A: 91.6243820 -72.5126648 nan 0.910 0.870 5138.0 4.30 0.18
 DMPP-3 A b: nan nan 2.580 0.0662 6.67320 918.6 1
>DMPP-4: 293.5826648 51.2358069 4.494 1.380 1.250 6400.0 4.24 -0.01
 DMPP-4 b: nan nan 12.200 0.0485 3.49820 1645.7 1
>DP Leo: 169.3162193 17.9615717 nan nan 0.690 nan nan nan
 DP Leo b: nan nan 1922.790 8.1900 10220.00000 nan 1
>DS Tuc A: 354.9154673 -69.1960430 6.676 0.960 1.010 5428.0 4.60 0.00
 DS Tuc A b: 3.176 5.700 413.179 0.0909 8.13827 850.8 0
>EPIC 201170410: 170.1408561 -4.8070039 12.619 0.280 0.290 3648.0 5.00 -0.05
 EPIC 201170410.02: nan 1.047 nan 0.0349 6.79870 498.3 0
>EPIC 201238110: 179.7058532 -3.3894613 11.933 0.374 0.410 nan nan nan
 EPIC 201238110 b: 3.360 1.870 nan 0.1346 28.16560 nan 0
>EPIC 201427007: 184.6021322 -0.5512886 12.581 0.940 0.639 5633.0 4.40 -0.05
 EPIC 201427007 b: nan 1.500 nan 0.0136 0.72091 2262.3 0
>EPIC 201497682: 168.9366786 0.4880606 11.438 0.552 0.780 nan nan nan
 EPIC 201497682 b: nan 0.692 nan 0.0298 2.13174 nan 0
>EPIC 201595106: 183.7203635 1.9681688 10.218 0.930 2.736 5820.0 4.60 -0.01
 EPIC 201595106 b: 1.001 1.300 nan 0.0251 0.87721 1708.8 0
>EPIC 201757695: 173.9385102 4.6164303 12.149 0.660 0.730 4520.0 4.66 -0.00
 EPIC 201757695.02: nan 0.908 nan 0.0296 2.04780 1029.2 0
>EPIC 201841433: 175.2067520 6.1348146 12.454 0.630 0.800 5053.0 4.59 0.00
 EPIC 201841433 b: 2.400 1.040 nan 0.0350 4.16980 1033.8 0
>EPIC 206024342: 331.2771441 -14.1218019 11.487 1.100 2.030 5724.0 4.50 -0.22
 EPIC 206024342 b: 2.184 1.764 nan 0.0521 4.50756 1267.9 0
 EPIC 206024342 c: 1.690 1.400 nan 0.0240 0.91172 1867.0 0
 EPIC 206024342 d: 4.008 2.600 nan 0.1483 14.64753 751.6 0
>EPIC 206032309: 341.2404563 -13.9011223 12.538 0.229 0.220 nan nan nan
 EPIC 206032309 b: nan 1.010 nan 0.0239 2.87814 nan 0
>EPIC 206042996: 337.5136198 -13.6101475 13.071 0.500 0.245 4114.0 4.80 0.01
 EPIC 206042996 b: 3.144 1.700 nan 0.0372 5.29860 727.3 0
 EPIC 206042996 c: 1.070 1.200 nan 0.0060 0.35488 1804.1 0
>EPIC 206215704: 335.0949721 -9.5097112 12.767 0.250 0.202 3297.0 4.90 -0.33
 EPIC 206215704 b: 0.984 1.000 nan 0.0198 2.25544 565.4 0
>EPIC 206317286: 337.6178427 -7.9724560 11.635 0.760 0.830 4752.0 4.60 0.02
 EPIC 206317286 b: 1.752 1.103 nan 0.0237 1.58252 1297.3 0
 EPIC 206317286 c: 3.936 2.094 nan 0.1221 17.51547 571.7 0
>EPIC 211822797: 130.4102091 17.6399744 11.429 0.580 0.620 4057.0 4.70 0.20
 EPIC 211822797 b: 3.576 1.920 nan 0.1195 21.17020 431.0 0
>EPIC 211945201: 136.5741931 19.4020565 8.837 1.390 1.170 6069.0 4.22 0.10
 EPIC 211945201 b: 3.910 5.760 27.000 0.1493 19.49221 893.0 0
>EPIC 212297394: 207.2061241 -17.6098985 12.186 0.800 0.830 5171.0 4.55 -0.03
 EPIC 212297394 b: 1.880 1.480 nan 0.0317 2.28936 1251.9 0
 EPIC 212297394 c: 2.620 2.270 nan 0.0538 5.21396 961.9 0
>EPIC 212424622: 202.3313765 -14.3594358 11.775 1.344 1.110 nan nan nan
 EPIC 212424622 b: 4.320 2.170 nan 0.1397 18.09830 nan 0
>EPIC 212499991: 202.4887520 -12.7347749 11.366 0.760 0.910 nan nan nan
 EPIC 212499991 b: nan 1.600 nan 0.2025 34.88500 nan 0
