# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
 Kepler-1840 b: 6.876 2.778 nan 0.4631 131.19000 310.4 0
>Kepler-1841: 287.7069031 40.6852161 12.745 0.900 0.820 5190.0 4.45 0.12
 Kepler-1841 b: 4.350 1.489 nan 0.1603 25.88600 593.0 0
>Kepler-1842: 286.2516039 42.3784353 13.104 1.130 1.060 5970.0 4.36 0.06
 Kepler-1842 b: 1.281 2.354 nan 0.1161 14.02640 898.3 0
>Kepler-1843: 292.8852302 41.2791690 11.141 1.780 1.020 5422.0 3.94 0.02
 Kepler-1843 b: 9.187 2.709 nan 0.1709 25.54340 843.9 0
>Kepler-1844: 292.6903973 37.9345682 14.062 0.850 0.940 5776.0 4.55 -0.18
 Kepler-1844 b: 3.708 3.036 nan 0.0477 3.92451 1175.8 0
>Kepler-1845: 292.9016226 38.2970320 13.585 0.700 0.690 4703.0 4.58 -0.14
 Kepler-1845 b: 2.194 2.438 nan 0.0887 11.60650 637.3 0
>Kepler-1846: 294.3909489 44.7629523 11.942 0.730 0.790 4825.0 4.60 0.08
 Kepler-1846 b: 3.902 1.764 nan 0.1092 14.82010 601.7 0
>Kepler-1847: 296.6014013 44.3252289 14.192 0.960 1.040 6122.0 4.49 -0.18
 Kepler-1847 b: 2.771 2.745 nan 0.0988 11.12970 920.0 0
>Kepler-1848: 299.3814921 45.5920846 11.529 0.740 0.760 4847.0 4.58 0.00
 Kepler-1848 b: 1.015 1.409 nan 0.0563 5.60402 847.0 0
>Kepler-1849: 285.2919300 41.2557275 13.418 0.730 0.710 4806.0 4.56 -0.10
 Kepler-1849 b: 5.025 2.387 nan 0.2595 57.29290 388.7 0
>Kepler-185: 282.4681674 43.8899464 12.515 0.810 0.834 5208.0 4.54 -0.06
 Kepler-185 b: 1.559 1.170 nan 0.0260 1.63290 1401.7 0
 Kepler-185 c: 2.781 2.020 nan 0.1390 20.72904 606.2 0
>Kepler-1850: 287.1428295 43.6161177 11.562 0.600 0.610 4239.0 4.67 -0.22
 Kepler-1850 b: 1.679 0.729 nan 0.0206 1.38580 1102.3 0
>Kepler-1851: 285.6737597 45.6398375 13.962 0.880 0.970 5982.0 4.54 -0.28
 Kepler-1851 b: 1.321 3.900 nan 0.1017 12.02290 848.6 0
>Kepler-1852: 288.0297157 40.3441934 13.427 0.830 0.930 5237.0 4.57 0.24
 Kepler-1852 b: 1.318 1.886 nan 0.0762 7.97094 833.3 0
>Kepler-1853: 284.7478834 46.3735415 12.776 0.790 0.770 4821.0 4.53 0.16
 Kepler-1853 b: 5.670 1.519 nan 0.2398 48.88820 421.9 0
>Kepler-1854: 286.2859300 37.3869915 12.146 0.760 0.800 5026.0 4.58 0.00
 Kepler-1854 b: 3.994 2.587 nan 0.2119 39.83110 459.0 0
>Kepler-1855: 283.4018628 41.5161554 12.032 0.360 0.390 3460.0 4.92 0.07
 Kepler-1855 b: 0.933 1.216 nan 0.0116 0.72733 930.9 0
>Kepler-1856: 295.9091695 51.3478777 13.392 0.820 0.780 4948.0 4.51 0.14
 Kepler-1856 b: 1.448 1.734 nan 0.0215 1.30200 1474.2 0
>Kepler-1857: 296.4557129 39.5985370 12.593 1.000 0.870 6074.0 4.38 -0.54
 Kepler-1857 b: 2.552 1.961 nan 0.0805 8.94341 1032.3 0
>Kepler-1858: 292.3074315 46.6265790 13.663 0.820 0.790 4939.0 4.51 0.16
 Kepler-1858 b: 6.772 2.422 nan 0.3581 88.07160 360.4 0
>Kepler-1859: 293.9886751 46.7179996 13.714 1.240 1.090 5887.0 4.29 0.16
 Kepler-1859 b: 2.718 1.583 nan 0.0393 2.72960 1593.8 0
 Kepler-1859 c: 2.661 1.660 nan 0.0473 3.59645 1453.5 0
>Kepler-186: 298.6527360 43.9549884 11.605 0.470 0.480 3788.0 4.77 -0.28
 Kepler-186 b: 1.810 1.070 nan 0.0343 3.88679 676.2 0
 Kepler-186 c: 2.269 1.250 nan 0.0451 7.26730 589.7 0
 Kepler-186 d: 2.900 1.400 nan 0.0781 13.34300 448.1 0
 Kepler-186 e: 3.320 1.270 nan 0.1100 22.40770 377.6 0
 Kepler-186 f: 5.620 1.051 nan 0.4320 129.94410 198.7 0
>Kepler-1860: 294.3508497 50.0809627 11.808 0.870 0.870 5420.0 4.50 0.00
 Kepler-1860 b: 3.382 1.139 nan 0.1019 12.73720 763.7 0
>Kepler-1861: 295.8465148 49.9361586 12.239 1.370 1.160 5855.0 4.23 0.26
 Kepler-1861 b: 4.815 2.207 nan 0.2406 40.03060 673.7 0
>Kepler-1862: 296.7533555 49.3780726 14.125 0.810 0.900 5644.0 4.58 -0.24
 Kepler-1862 b: 3.396 2.203 nan 0.1203 16.05730 706.3 0
>Kepler-1863: 282.2397185 43.2440854 12.039 0.980 1.100 5871.0 4.49 0.21
 Kepler-1863 b: 9.149 2.263 nan 0.2556 44.99760 554.4 0
>Kepler-1864: 289.6867653 41.5889178 10.666 0.980 1.030 5854.0 4.47 0.06
 Kepler-1864 b: 2.797 0.754 nan 0.0488 3.88151 1264.8 0
>Kepler-1865: 293.9412380 41.5904136 13.635 0.870 0.850 5420.0 4.49 -0.06
 Kepler-1865 b: 1.142 1.577 nan 0.0344 2.52401 1315.0 0
>Kepler-1866: 286.2246453 44.6544869 12.877 1.080 1.030 5791.0 4.38 0.16
 Kepler-1866 b: 4.921 2.082 nan 0.1016 11.66010 910.3 0
>Kepler-1867: 294.9971007 43.4358698 11.897 0.820 0.910 5693.0 4.57 -0.24
 Kepler-1867 b: 4.239 1.160 nan 0.0874 9.88736 841.0 0
>Kepler-1868: 293.2983733 43.5558025 11.559 0.690 0.740 4658.0 4.63 0.00
 Kepler-1868 b: 6.866 3.150 nan 0.6275 211.03400 235.5 0
>Kepler-1869: 292.6149958 42.7643438 8.693 0.900 0.990 5808.0 4.52 -0.06
 Kepler-1869 b: 3.286 1.120 nan 0.0791 8.16736 944.7 0
 Kepler-1869 c: 2.068 0.740 nan 0.0280 1.71683 1587.8 0
>Kepler-187: 299.7964955 44.0892448 12.566 1.290 1.143 6105.0 4.27 -0.34
 Kepler-187 b: 4.279 1.410 nan 0.0590 4.93886 1376.5 0
 Kepler-187 c: 5.284 2.670 nan 0.0990 10.64026 1062.7 0
>Kepler-1870: 293.9335076 40.5907040 11.758 0.840 0.950 5508.0 4.57 0.07
 Kepler-1870 b: 1.026 2.101 nan 0.0452 3.60694 1144.4 0
>Kepler-1871: 292.4275044 38.4728824 12.841 0.950 1.020 5741.0 4.50 0.12
 Kepler-1871 b: 0.884 2.422 nan 0.0308 1.95270 1538.0 0
>Kepler-1872: 281.0491988 43.3225996 13.710 0.890 0.910 5223.0 4.50 0.32
 Kepler-1872 b: 1.480 2.384 nan 0.0464 3.82591 1103.1 0
>Kepler-1873: 294.5965570 46.0483705 13.569 0.790 0.900 5151.0 4.59 0.21
 Kepler-1873 b: 0.841 1.626 nan 0.0128 0.55884 1949.8 0
>Kepler-1874: 286.3718158 43.6920810 12.473 0.780 0.760 4701.0 4.54 0.24
 Kepler-1874 b: 3.988 2.211 nan 0.2632 56.57320 390.2 0
>Kepler-1875: 296.7727406 50.1883667 13.425 0.860 0.950 6161.0 4.54 -0.50
 Kepler-1875 b: 7.359 3.227 nan 0.2037 34.45860 610.4 0
>Kepler-1876: 299.1604859 41.1437964 9.472 1.480 1.190 6104.0 3.87 0.01
 Kepler-1876 b: 4.842 0.853 2.400 0.0758 6.99205 1300.6 0
>Kepler-1877: 294.8669240 46.7904816 10.642 0.940 1.020 5615.0 4.50 0.24
 Kepler-1877 b: 2.263 0.624 nan 0.0351 2.37757 1401.3 0
>Kepler-1878: 300.7324154 44.1070231 13.672 0.860 0.960 5918.0 4.54 -0.26
 Kepler-1878 b: 2.382 2.920 nan 0.0522 4.44588 1158.3 0
>Kepler-1879: 289.3644209 41.5332589 11.444 1.390 1.020 5865.0 4.16 0.00
 Kepler-1879 b: 1.393 2.065 nan 0.0951 10.61340 1081.0 0
>Kepler-188: 281.2797173 44.3154743 13.144 1.140 1.067 6021.0 4.35 0.00
 Kepler-188 b: 1.791 1.680 nan 0.0320 2.06190 1732.9 0
 Kepler-188 c: 3.231 3.190 nan 0.0660 5.99655 1206.7 0
>Kepler-1880: 287.8264561 40.6965988 13.439 0.530 0.520 4380.0 4.71 -0.92
 Kepler-1880 b: 1.325 2.117 nan 0.0537 6.30922 663.3 0
>Kepler-1881: 293.6393065 44.9825447 13.978 0.870 0.810 5135.0 4.46 0.12
 Kepler-1881 b: 8.432 2.981 nan 0.5363 159.39400 315.4 0
>Kepler-1882: 290.6640856 43.4997866 10.919 1.460 1.070 5691.0 4.14 0.26
 Kepler-1882 b: 5.747 1.487 nan 0.1151 13.78730 977.4 0
>Kepler-1883: 291.9225570 42.0025220 14.097 1.020 1.090 6208.0 4.45 -0.12
 Kepler-1883 b: 5.375 3.251 nan 0.4438 103.42700 453.8 0
>Kepler-1884: 296.7463986 43.0454207 13.611 0.910 0.990 5984.0 4.52 -0.20
 Kepler-1884 b: 4.650 1.814 nan 0.0843 8.98832 947.9 0
>Kepler-1885: 288.7507112 47.4909206 13.109 0.860 0.980 5591.0 4.56 0.07
 Kepler-1885 b: 1.417 1.511 nan 0.0360 2.52256 1317.3 0
>Kepler-1886: 296.2645118 39.4059745 13.705 0.840 0.930 5745.0 4.56 -0.20
 Kepler-1886 b: 4.953 2.582 nan 0.1602 24.27580 634.4 0
>Kepler-1887: 288.9555263 44.7057070 14.298 0.860 0.960 5749.0 4.55 -0.10
 Kepler-1887 b: 1.819 2.925 nan 0.1420 19.94750 682.2 0
>Kepler-1888: 289.3945523 41.7822597 10.322 1.250 0.900 5557.0 4.20 0.00
 Kepler-1888 b: 4.971 1.326 nan 0.0957 11.39170 968.6 0
>Kepler-1889: 297.1992577 41.2264404 13.731 0.820 0.860 5646.0 4.55 -0.28
 Kepler-1889 b: 7.479 2.944 nan 0.2078 37.30370 540.9 0
>Kepler-189: 287.5646296 44.3050662 12.921 0.750 0.846 5235.0 4.62 -0.14
 Kepler-189 b: 3.417 1.210 nan 0.0880 10.39993 737.0 0
 Kepler-189 c: 3.565 2.380 22.700 0.1370 20.13487 590.6 0
>Kepler-1890: 292.5778203 40.6679032 11.566 1.400 1.020 6046.0 4.16 -0.16
 Kepler-1890 b: 3.468 0.869 nan 0.0562 4.82059 1454.9 0
>Kepler-1891: 290.0438524 44.3705375 12.538 0.830 0.870 5516.0 4.54 -0.14
 Kepler-1891 b: 0.861 1.521 nan 0.0473 4.02229 1114.8 0
>Kepler-1892: 299.0810070 42.0180957 13.563 0.760 0.850 5383.0 4.60 -0.22
 Kepler-1892 b: 2.809 1.837 nan 0.0634 6.33123 898.4 0
>Kepler-1893: 298.4012866 44.8381709 13.104 1.160 0.970 5633.0 4.30 0.16
 Kepler-1893 b: 2.586 1.706 nan 0.0503 4.17937 1304.9 0
>Kepler-1894: 295.5864604 49.6668523 13.648 0.900 1.000 5772.0 4.53 0.00
 Kepler-1894 b: 1.893 1.201 nan 0.0385 2.76266 1345.1 0
 Kepler-1894 c: 2.514 1.210 nan 0.0576 5.05369 1100.2 0
>Kepler-1895: 291.6756005 48.7625419 13.441 0.760 0.860 5076.0 4.60 0.10
 Kepler-1895 b: 1.290 2.119 nan 0.0619 6.07029 857.4 0
>Kepler-1896: 289.6785786 40.2496475 14.165 1.000 1.070 6122.0 4.47 -0.10
 Kepler-1896 b: 4.166 3.099 nan 0.2528 44.87020 587.2 0
>Kepler-1897: 294.2901043 39.1268710 13.714 0.760 0.860 5165.0 4.60 0.02
 Kepler-1897 b: 3.680 2.814 nan 0.1558 24.22030 550.1 0
>Kepler-1898: 287.2058009 38.4981903 11.532 1.120 0.840 5702.0 4.26 -0.28
 Kepler-1898 b: 2.165 0.934 nan 0.0523 4.76562 1272.5 0
>Kepler-1899: 292.0333777 37.9744551 13.697 0.740 0.760 4791.0 4.58 0.07
 Kepler-1899 b: 1.653 1.551 nan 0.0457 4.09578 929.4 0
>Kepler-19: 290.4209694 37.8516556 10.318 0.860 0.940 5541.0 4.55 -0.13
 Kepler-19 b: 3.371 2.209 6.100 0.0846 9.28699 851.9 0
 Kepler-19 c: nan nan 13.100 0.1798 28.73100 584.6 0
 Kepler-19 d: nan nan 22.500 0.3034 62.95000 450.1 0
>Kepler-190: 288.5839761 44.7337701 12.231 0.800 0.883 5106.0 4.56 0.00
 Kepler-190 b: 1.821 1.560 nan 0.0300 2.02000 1271.4 0
 Kepler-190 c: 1.536 1.460 nan 0.0450 3.76302 1038.1 0
>Kepler-1900: 291.8863206 44.4790319 13.815 1.040 1.100 6173.0 4.45 -0.04
 Kepler-1900 b: 3.293 1.623 nan 0.0419 2.98623 1483.1 0
>Kepler-1901: 291.1643587 45.3183061 13.310 0.920 1.020 5696.0 4.52 0.14
 Kepler-1901 b: 1.356 1.474 nan 0.0453 3.48413 1238.1 0
>Kepler-1902: 292.7376545 42.0147792 12.677 0.510 0.520 3729.0 4.73 0.06
 Kepler-1902 b: 1.859 1.176 nan 0.0385 3.82222 654.7 0
>Kepler-1903: 290.8882981 51.2481617 13.980 1.000 1.050 6347.0 4.46 -0.34
 Kepler-1903 b: 6.165 2.286 nan 0.1319 17.06790 842.8 0
>Kepler-1904: 288.8744026 51.1542215 12.752 0.500 0.530 3805.0 4.77 -0.10
 Kepler-1904 b: 0.921 1.390 nan 0.0437 4.57702 620.9 0
>Kepler-1905: 292.5733475 46.3668273 13.487 1.010 1.040 5788.0 4.44 0.16
 Kepler-1905 b: 1.920 1.446 nan 0.0450 3.42393 1321.6 0
>Kepler-1906: 293.8266166 38.8565906 13.410 0.890 0.990 5868.0 4.53 -0.12
 Kepler-1906 b: 1.492 2.776 nan 0.0738 7.36269 982.5 0
>Kepler-1907: 280.7085829 47.3279236 11.726 0.800 0.750 5159.0 4.51 -0.16
 Kepler-1907 b: 2.004 0.870 nan 0.0564 5.65245 936.7 0
 Kepler-1907 c: 2.134 1.155 nan 0.1075 14.86390 678.7 0
>Kepler-1909: 290.8894090 42.4596251 13.558 0.690 0.660 4935.0 4.59 -0.42
 Kepler-1909 b: 1.916 1.092 nan 0.0305 2.39161 1132.4 0
>Kepler-191: 291.1833211 45.3230937 12.883 0.790 0.889 5282.0 4.59 0.13
 Kepler-191 b: 2.917 1.340 nan 0.0870 9.93963 767.5 0
 Kepler-191 c: 2.821 1.860 nan 0.1280 17.73851 632.8 0
 Kepler-191 d: 2.571 2.265 nan 0.0606 5.94504 913.7 0
>Kepler-1910: 296.6171677 41.2811677 12.775 0.640 0.640 4234.0 4.63 -0.02
 Kepler-1910 b: 2.684 1.184 nan 0.0537 5.68877 704.5 0
>Kepler-1911: 299.3035590 41.4410233 10.635 0.970 0.950 5721.0 4.44 0.00
 Kepler-1911 b: 1.699 1.011 nan 0.0635 5.99080 1078.5 0
>Kepler-1912: 282.1178211 46.2239547 10.799 0.960 0.980 5734.0 4.46 0.04
 Kepler-1912 b: 1.268 1.357 nan 0.0646 6.05922 1065.8 0
>Kepler-1913: 290.2166890 44.7795863 13.202 1.080 1.170 6214.0 4.44 0.07
 Kepler-1913 b: 3.577 1.519 nan 0.1209 14.19600 895.6 0
>Kepler-1914: 291.4314024 38.6543635 14.212 0.960 1.050 5982.0 4.49 -0.04
 Kepler-1914 b: 4.131 2.943 nan 0.1956 30.82790 639.1 0
>Kepler-1915: 301.2786852 44.2505116 14.039 1.060 1.030 6020.0 4.40 -0.06
 Kepler-1915 b: 3.786 3.218 nan 0.1139 13.83540 885.5 0
>Kepler-1916: 293.0705754 48.3876790 14.365 1.090 1.180 6246.0 4.43 0.07
 Kepler-1916 b: 5.662 2.618 nan 0.2052 31.25430 694.2 0
>Kepler-1917: 294.1038932 45.0013533 13.509 0.790 0.880 5530.0 4.59 -0.22
 Kepler-1917 b: 2.446 1.890 nan 0.1032 12.90240 737.9 0
>Kepler-1918: 292.5305460 42.2145765 14.053 0.920 0.970 5889.0 4.49 -0.16
 Kepler-1918 b: 4.904 2.298 nan 0.2525 47.05640 542.0 0
>Kepler-1919: 283.1319153 43.9560050 14.022 0.820 0.870 5513.0 4.55 -0.16
 Kepler-1919 b: 5.525 2.624 nan 0.2108 37.88660 524.4 0
>Kepler-192: 287.9179379 45.5928829 12.427 1.010 0.987 5479.0 4.43 0.36
 Kepler-192 b: 3.780 2.740 nan 0.0900 9.92675 885.1 0
 Kepler-192 c: 4.940 2.790 nan 0.1500 21.22340 685.6 0
 Kepler-192 d: 3.241 1.101 nan 0.0666 6.47028 994.3 0
>Kepler-1920: 291.0620355 38.8632881 12.908 1.160 1.240 6277.0 4.40 0.21
 Kepler-1920 b: 2.087 2.954 nan 0.2041 30.25410 721.5 0
>Kepler-1921: 300.3161723 45.4953271 11.514 2.000 1.250 6120.0 3.93 0.02
 Kepler-1921 b: 6.891 2.895 nan 0.1555 20.03480 1058.3 0
 Kepler-1921 c: 3.762 1.410 nan 0.0454 3.15722 1958.7 0
>Kepler-1922: 292.3303706 37.9970696 13.600 0.860 0.950 5931.0 4.54 -0.28
 Kepler-1922 b: 3.729 2.291 nan 0.1076 13.22260 808.6 0
>Kepler-1923: 298.0834457 40.3462551 12.622 1.290 1.110 5881.0 4.26 0.16
 Kepler-1923 b: 8.232 1.960 nan 0.2845 52.60970 603.9 0
>Kepler-1924: 293.7673860 42.8291562 13.444 1.280 1.020 5726.0 4.23 0.16
 Kepler-1924 b: 5.239 2.654 nan 0.1216 15.33170 895.9 0
>Kepler-1925: 289.8287452 45.1026883 13.598 1.090 1.060 5856.0 4.39 0.16
 Kepler-1925 b: 7.259 3.002 nan 0.2588 46.71640 579.5 0
>Kepler-1926: 291.1987905 44.1662033 13.626 0.830 0.770 5256.0 4.48 -0.16
 Kepler-1926 b: 2.242 2.315 nan 0.2197 42.87770 492.6 0
>Kepler-1927: 296.3546093 41.3355698 11.826 2.480 1.410 6056.0 3.80 0.14
 Kepler-1927 b: 13.234 3.406 nan 0.3859 73.75040 740.3 0
>Kepler-1928: 290.4406294 38.5235721 11.107 0.920 1.010 5720.0 4.48 0.12
 Kepler-1928 b: 2.300 1.992 nan 0.1940 19.57783 600.7 0
>Kepler-1929: 299.5833362 47.4481244 10.453 1.470 1.010 5786.0 4.11 -0.02
 Kepler-1929 b: 14.040 3.073 nan 0.2988 59.36250 618.8 0
>Kepler-193: 296.4985951 46.5772484 13.218 1.150 1.225 6335.0 4.40 0.14
 Kepler-193 b: 3.618 2.390 nan 0.1060 11.38848 1006.2 0
 Kepler-193 c: 6.115 2.750 nan 0.2860 50.69749 612.6 0
>Kepler-1930: 297.5771450 40.0276768 11.289 0.840 0.840 5083.0 4.51 0.22
 Kepler-1930 b: 0.785 1.530 nan 0.1022 13.02680 702.6 0
>Kepler-1931: 290.8723061 43.3330104 11.330 1.220 1.170 6167.0 4.33 0.12
 Kepler-1931 b: 19.861 2.653 nan 0.2354 38.57610 676.9 0
>Kepler-1932: 285.3314903 41.0638435 13.149 0.810 0.910 5278.0 4.58 0.14
 Kepler-1932 b: 0.873 1.515 nan 0.0123 0.52418 2062.9 0
>Kepler-1933: 283.9950850 39.9170121 11.106 1.010 0.960 5661.0 4.42 0.10
 Kepler-1933 b: 2.933 1.180 nan 0.0560 4.94329 1159.0 0
>Kepler-1934: 290.9193265 37.2871677 11.436 1.030 0.970 5925.0 4.39 -0.14
 Kepler-1934 b: 1.513 0.913 nan 0.0245 1.41976 1853.5 0
>Kepler-1935: 296.4037783 39.7227036 12.683 0.900 0.840 5570.0 4.46 -0.18
 Kepler-1935 b: 1.026 2.503 nan 0.0462 3.95140 1186.1 0
>Kepler-1936: 290.7300141 44.8361280 12.201 1.850 1.420 6501.0 4.05 0.10
 Kepler-1936 b: 8.079 3.166 nan 0.5545 126.55700 572.6 0
>Kepler-1937: 290.6583922 40.7785383 12.817 1.200 1.190 6457.0 4.36 -0.06
 Kepler-1937 b: 1.990 3.023 nan 0.0943 9.68860 1111.0 0
>Kepler-1938: 299.3518920 41.1957285 12.494 0.660 0.650 4522.0 4.62 -0.22
 Kepler-1938 b: 3.260 1.828 nan 0.0940 13.06260 577.7 0
>Kepler-1939: 285.6899312 40.9946659 10.841 0.600 0.650 4353.0 4.68 -0.18
 Kepler-1939 b: 0.687 1.165 nan 0.0336 2.79066 887.0 0
>Kepler-194: 291.9714290 47.8640498 13.512 1.020 1.001 6089.0 4.42 -0.30
 Kepler-194 b: 2.351 1.510 nan 0.0320 2.09228 1657.7 0
 Kepler-194 c: 4.961 2.590 nan 0.1310 17.30803 819.3 0
 Kepler-194 d: 7.300 2.400 nan 0.2750 52.81497 565.5 0
>Kepler-1940: 291.2042027 45.2383344 13.478 0.720 0.800 5431.0 4.62 -0.44
 Kepler-1940 b: 1.719 1.547 nan 0.0528 4.95061 967.3 0
>Kepler-1941: 296.6270184 49.3538910 13.364 1.140 1.180 6404.0 4.39 -0.06
 Kepler-1941 b: 6.091 2.650 nan 0.2056 31.33510 727.2 0
>Kepler-1942: 294.9805416 44.4252384 13.035 0.800 0.850 5834.0 4.57 -0.50
 Kepler-1942 b: 0.560 2.117 nan 0.0515 4.62605 1109.1 0
>Kepler-1943: 293.3182976 41.1166697 12.252 0.970 1.050 6032.0 4.49 -0.06
 Kepler-1943 b: 5.676 1.549 nan 0.0570 4.85018 1199.9 0
>Kepler-1944: 296.5105045 39.1732645 13.447 0.970 1.060 5585.0 4.49 0.48
 Kepler-1944 b: 1.602 2.760 nan 0.0916 9.84258 876.2 0
>Kepler-1945: 281.8980828 42.2858185 11.366 0.800 0.770 4991.0 4.51 0.04
 Kepler-1945 b: 1.308 1.289 nan 0.0598 6.08004 880.6 0
>Kepler-1946: 282.3355387 42.8453417 13.761 0.870 0.890 5505.0 4.50 -0.04
 Kepler-1946 b: 0.649 2.488 nan 0.0395 3.03519 1246.4 0
>Kepler-1947: 296.1040313 42.3425818 11.504 1.690 0.980 6040.0 3.98 -0.44
 Kepler-1947 b: 3.176 1.010 nan 0.0709 6.96363 1422.1 0
>Kepler-1948: 287.3640804 47.7853043 10.871 0.560 0.580 3872.0 4.71 0.12
 Kepler-1948 b: 2.294 1.033 nan 0.1018 15.57130 438.0 0
>Kepler-1949: 293.5422586 43.0260555 13.694 1.450 1.190 6028.0 4.19 0.14
 Kepler-1949 b: 2.799 2.220 nan 0.0352 2.20828 1866.4 0
>Kepler-195: 288.1209339 47.9666141 12.959 0.780 0.877 5329.0 4.60 -0.04
 Kepler-195 b: 3.150 2.030 nan 0.0770 8.30787 817.9 0
 Kepler-195 c: 3.904 1.550 nan 0.1970 34.09686 511.3 0
>Kepler-1950: 287.0874563 42.6686537 12.679 0.850 0.760 5455.0 4.46 -0.34
 Kepler-1950 b: 2.616 1.527 nan 0.0871 10.77690 821.5 0
>Kepler-1951: 290.4999139 40.2877161 12.389 1.310 0.920 5468.0 4.17 0.14
 Kepler-1951 b: 8.232 2.321 nan 0.1433 20.65780 797.2 0
>Kepler-1952: 288.0764082 43.9584839 12.204 1.300 0.920 5973.0 4.17 -0.34
 Kepler-1952 b: 9.376 1.239 nan 0.1722 27.21080 791.4 0
>Kepler-1953: 287.9680995 46.4705959 13.163 0.710 0.790 4858.0 4.62 -0.02
 Kepler-1953 b: 2.372 1.286 nan 0.0614 6.24566 796.9 0
>Kepler-1954: 298.0029203 43.3545882 13.978 0.850 0.940 5840.0 4.55 -0.24
 Kepler-1954 b: 2.466 1.802 nan 0.0625 5.88343 1038.7 0
>Kepler-1955: 299.5347603 40.4777528 11.080 1.290 1.050 5825.0 4.24 0.14
 Kepler-1955 b: 3.572 1.167 nan 0.1170 14.26520 932.7 0
>Kepler-1956: 294.6208506 49.8942190 12.848 0.680 0.670 4391.0 4.60 0.04
 Kepler-1956 b: 1.847 1.089 nan 0.0562 5.94372 736.6 0
>Kepler-1957: 293.7114360 47.8874467 12.613 0.770 0.740 4904.0 4.54 0.00
 Kepler-1957 b: 1.585 0.944 nan 0.0298 2.18662 1201.6 0
>Kepler-1958: 289.1041643 41.6901138 13.727 0.860 0.960 5749.0 4.55 -0.10
 Kepler-1958 b: 1.663 2.051 nan 0.0856 9.32862 878.9 0
>Kepler-1959: 296.0223010 44.7326691 12.494 0.810 0.770 5071.0 4.50 -0.02
 Kepler-1959 b: 1.243 1.143 nan 0.0617 6.38669 885.6 0
>Kepler-196: 284.9685077 42.0791214 12.235 0.780 0.815 5128.0 4.57 0.12
 Kepler-196 b: 3.014 1.900 nan 0.1380 20.73989 587.9 0
 Kepler-196 c: 5.114 2.240 nan 0.2400 47.42774 445.8 0
 Kepler-196 d: 4.121 2.696 nan 0.4490 122.08000 324.1 0
>Kepler-1960: 294.6969361 46.7202043 13.685 1.070 1.120 6371.0 4.43 -0.18
 Kepler-1960 b: 2.923 1.307 nan 0.0354 2.29794 1689.2 0
>Kepler-1961: 286.3300783 39.6831276 13.744 0.780 0.870 5401.0 4.59 -0.16
 Kepler-1961 b: 2.824 1.619 nan 0.0589 5.60471 947.4 0
>Kepler-1962: 289.5483989 40.1641457 13.412 1.010 1.000 5700.0 4.43 0.16
 Kepler-1962 b: 3.200 1.215 nan 0.0782 7.99146 987.6 0
>Kepler-1963: 296.5875182 47.2071290 12.261 0.980 0.920 5726.0 4.42 -0.10
 Kepler-1963 b: 1.443 0.744 nan 0.0298 1.96226 1582.5 0
>Kepler-1964: 297.0588033 49.4784362 13.450 0.700 0.750 4803.0 4.62 -0.08
 Kepler-1964 b: 0.540 1.781 nan 0.0322 2.44083 1079.3 0
>Kepler-1965: 292.5147146 38.0219872 12.120 0.840 0.930 5852.0 4.56 -0.30
 Kepler-1965 b: 5.186 1.354 nan 0.2303 41.86870 538.9 0
>Kepler-1966: 292.4637788 41.2990438 12.643 0.840 0.800 5009.0 4.49 0.16
 Kepler-1966 b: 2.602 1.105 nan 0.0764 8.61743 801.1 0
>Kepler-1967: 299.1376276 43.4984724 11.192 1.810 1.000 4970.0 3.92 0.32
 Kepler-1967 b: 1.631 0.730 nan 0.0735 7.28169 1189.1 0
>Kepler-1968: 291.5080318 45.3700933 13.802 0.790 0.840 5008.0 4.57 0.18
 Kepler-1968 b: 2.710 1.500 nan 0.0694 7.28110 814.9 0
>Kepler-1969: 294.7842662 49.4920557 14.235 1.010 1.110 6046.0 4.48 0.07
 Kepler-1969 b: 1.873 1.682 nan 0.0716 6.64752 1094.7 0
>Kepler-197: 295.2264739 50.5592348 10.535 1.120 0.908 6004.0 4.30 -0.44
 Kepler-197 b: 3.681 1.020 nan 0.0600 5.59931 1250.9 0
 Kepler-197 c: 4.251 1.230 5.300 0.0900 10.34970 1021.3 0
 Kepler-197 d: 5.326 1.220 nan 0.1190 15.67756 888.2 0
 Kepler-197 e: 6.298 0.910 nan 0.1640 25.20971 756.6 0
>Kepler-1972: 288.3953074 39.8725067 9.792 1.380 1.120 5818.0 4.20 0.23
 Kepler-1972 b: 6.926 0.802 2.020 0.0792 7.54425 1171.1 0
 Kepler-1972 c: 5.860 0.868 2.110 0.1039 11.32950 1022.4 0
>Kepler-1976: 292.1670600 48.7275345 13.805 1.080 0.980 5712.0 4.36 0.10
 Kepler-1976 b: 2.227 12.210 nan 0.0565 4.95932 1204.2 0
>Kepler-1977: 290.6178587 37.2891002 13.358 0.690 0.770 4805.0 4.63 -0.06
 Kepler-1977 b: 1.813 1.660 nan 0.0486 4.53702 873.0 0
>Kepler-1978: 286.0067312 38.0095407 13.440 0.780 0.870 5251.0 4.59 -0.04
 Kepler-1978 b: 3.474 2.670 nan 0.0914 10.84969 739.7 0
